video,split,codec,crf,ok,bitrate,size
865_739.mp4,Deepfakes,av1,40,1,741594,536111
866_878.mp4,Deepfakes,h264,18,1,11886725,25209764
866_878.mp4,Deepfakes,h264,28,1,3301026,7000928
866_878.mp4,Deepfakes,h264,38,1,667848,1416396
866_878.mp4,Deepfakes,hevc,18,1,1726065,3660698
866_878.mp4,Deepfakes,hevc,28,1,392115,831612
866_878.mp4,Deepfakes,hevc,38,1,127420,270237
866_878.mp4,Deepfakes,av1,20,1,2488451,5277591
866_878.mp4,Deepfakes,av1,30,1,1233093,2615186
866_878.mp4,Deepfakes,av1,40,1,537221,1139358
867_765.mp4,Deepfakes,h264,18,1,4067799,25237304
867_765.mp4,Deepfakes,h264,28,1,1458147,9046588
867_765.mp4,Deepfakes,h264,38,1,381779,2368626
867_765.mp4,Deepfakes,hevc,18,1,1014136,6291869
867_765.mp4,Deepfakes,hevc,28,1,234013,1451856
867_765.mp4,Deepfakes,hevc,38,1,62793,389581
867_765.mp4,Deepfakes,av1,20,1,1809700,11227684
867_765.mp4,Deepfakes,av1,30,1,913954,5670326
867_765.mp4,Deepfakes,av1,40,1,420795,2610687
868_949.mp4,Deepfakes,h264,18,1,2219670,3986158
868_949.mp4,Deepfakes,h264,28,1,776958,1395288
868_949.mp4,Deepfakes,h264,38,1,256887,461328
868_949.mp4,Deepfakes,hevc,18,1,475875,854593
868_949.mp4,Deepfakes,hevc,28,1,139058,249726
868_949.mp4,Deepfakes,hevc,38,1,48757,87561
868_949.mp4,Deepfakes,av1,20,1,1083799,1946323
868_949.mp4,Deepfakes,av1,30,1,573323,1029593
868_949.mp4,Deepfakes,av1,40,1,244791,439605
869_780.mp4,Deepfakes,h264,18,1,12760380,21246033
869_780.mp4,Deepfakes,h264,28,1,3631987,6047260
869_780.mp4,Deepfakes,h264,38,1,973108,1620225
869_780.mp4,Deepfakes,hevc,18,1,2335425,3888483
869_780.mp4,Deepfakes,hevc,28,1,595362,991279
869_780.mp4,Deepfakes,hevc,38,1,189393,315340
869_780.mp4,Deepfakes,av1,20,1,3259739,5427466
869_780.mp4,Deepfakes,av1,30,1,1652251,2750998
869_780.mp4,Deepfakes,av1,40,1,782520,1302897
870_001.mp4,Deepfakes,h264,18,1,5250890,15857688
870_001.mp4,Deepfakes,h264,28,1,1785338,5391721
870_001.mp4,Deepfakes,h264,38,1,426088,1286786
870_001.mp4,Deepfakes,hevc,18,1,1033107,3119985
870_001.mp4,Deepfakes,hevc,28,1,212297,641139
870_001.mp4,Deepfakes,hevc,38,1,65046,196440
870_001.mp4,Deepfakes,av1,20,1,1714268,5177090
870_001.mp4,Deepfakes,av1,30,1,916064,2766514
870_001.mp4,Deepfakes,av1,40,1,374671,1131509
871_814.mp4,Deepfakes,h264,18,1,4200697,6091011
871_814.mp4,Deepfakes,h264,28,1,1059254,1535919
871_814.mp4,Deepfakes,h264,38,1,218881,317378
871_814.mp4,Deepfakes,hevc,18,1,763111,1106512
871_814.mp4,Deepfakes,hevc,28,1,192759,279501
871_814.mp4,Deepfakes,hevc,38,1,60306,87444
871_814.mp4,Deepfakes,av1,20,1,1317540,1910434
871_814.mp4,Deepfakes,av1,30,1,653791,947997
871_814.mp4,Deepfakes,av1,40,1,308868,447859
872_873.mp4,Deepfakes,h264,18,1,2134027,5057646
872_873.mp4,Deepfakes,h264,28,1,579234,1372785
872_873.mp4,Deepfakes,h264,38,1,123501,292698
872_873.mp4,Deepfakes,hevc,18,1,275575,653114
872_873.mp4,Deepfakes,hevc,28,1,73548,174309
872_873.mp4,Deepfakes,hevc,38,1,31623,74947
872_873.mp4,Deepfakes,av1,20,1,405741,961608
872_873.mp4,Deepfakes,av1,30,1,229852,544751
872_873.mp4,Deepfakes,av1,40,1,126431,299643
873_872.mp4,Deepfakes,h264,18,1,4406960,19478764
873_872.mp4,Deepfakes,h264,28,1,1175208,5194422
873_872.mp4,Deepfakes,h264,38,1,320254,1415526
873_872.mp4,Deepfakes,hevc,18,1,578831,2558435
873_872.mp4,Deepfakes,hevc,28,1,164676,727869
873_872.mp4,Deepfakes,hevc,38,1,67739,299407
873_872.mp4,Deepfakes,av1,20,1,933427,4125748
873_872.mp4,Deepfakes,av1,30,1,508444,2247323
873_872.mp4,Deepfakes,av1,40,1,261417,1155466
874_291.mp4,Deepfakes,h264,18,1,9072476,17729131
874_291.mp4,Deepfakes,h264,28,1,2346590,4585628
874_291.mp4,Deepfakes,h264,38,1,609617,1191295
874_291.mp4,Deepfakes,hevc,18,1,1193658,2332607
874_291.mp4,Deepfakes,hevc,28,1,355194,694109
874_291.mp4,Deepfakes,hevc,38,1,138246,270157
874_291.mp4,Deepfakes,av1,20,1,1529377,2988658
874_291.mp4,Deepfakes,av1,30,1,775096,1514668
874_291.mp4,Deepfakes,av1,40,1,378485,739624
875_979.mp4,Deepfakes,h264,18,1,4694325,8254189
875_979.mp4,Deepfakes,h264,28,1,1462235,2571098
875_979.mp4,Deepfakes,h264,38,1,444790,782090
875_979.mp4,Deepfakes,hevc,18,1,567862,998492
875_979.mp4,Deepfakes,hevc,28,1,152024,267309
875_979.mp4,Deepfakes,hevc,38,1,58859,103495
875_979.mp4,Deepfakes,av1,20,1,811135,1426246
875_979.mp4,Deepfakes,av1,30,1,404503,711252
875_979.mp4,Deepfakes,av1,40,1,193630,340467
876_891.mp4,Deepfakes,h264,18,1,4475158,5836353
876_891.mp4,Deepfakes,h264,28,1,1040022,1356362
876_891.mp4,Deepfakes,h264,38,1,267007,348222
876_891.mp4,Deepfakes,hevc,18,1,499437,651350
876_891.mp4,Deepfakes,hevc,28,1,134695,175665
876_891.mp4,Deepfakes,hevc,38,1,60453,78841
876_891.mp4,Deepfakes,av1,20,1,912699,1190312
876_891.mp4,Deepfakes,av1,30,1,504131,657472
876_891.mp4,Deepfakes,av1,40,1,238740,311358
877_886.mp4,Deepfakes,h264,18,1,3868303,11024666
877_886.mp4,Deepfakes,h264,28,1,1264233,3603065
877_886.mp4,Deepfakes,h264,38,1,412294,1175040
877_886.mp4,Deepfakes,hevc,18,1,643079,1832777
877_886.mp4,Deepfakes,hevc,28,1,169037,481757
877_886.mp4,Deepfakes,hevc,38,1,61811,176164
877_886.mp4,Deepfakes,av1,20,1,1015307,2893627
877_886.mp4,Deepfakes,av1,30,1,524122,1493750
877_886.mp4,Deepfakes,av1,40,1,252453,719492
878_866.mp4,Deepfakes,h264,18,1,4523448,13871910
878_866.mp4,Deepfakes,h264,28,1,1031446,3163102
878_866.mp4,Deepfakes,h264,38,1,230238,706066
878_866.mp4,Deepfakes,hevc,18,1,446145,1368179
878_866.mp4,Deepfakes,hevc,28,1,123453,378592
878_866.mp4,Deepfakes,hevc,38,1,58165,178374
878_866.mp4,Deepfakes,av1,20,1,635633,1949277
878_866.mp4,Deepfakes,av1,30,1,318651,977199
878_866.mp4,Deepfakes,av1,40,1,163159,500357
879_963.mp4,Deepfakes,h264,18,1,2869970,10032939
879_963.mp4,Deepfakes,h264,28,1,904118,3160646
879_963.mp4,Deepfakes,h264,38,1,220701,771537
879_963.mp4,Deepfakes,hevc,18,1,558734,1953241
879_963.mp4,Deepfakes,hevc,28,1,144148,503919
879_963.mp4,Deepfakes,hevc,38,1,50615,176942
879_963.mp4,Deepfakes,av1,20,1,1130888,3953399
879_963.mp4,Deepfakes,av1,30,1,587592,2054127
879_963.mp4,Deepfakes,av1,40,1,287511,1005094
880_135.mp4,Deepfakes,h264,18,1,7787925,17644519
880_135.mp4,Deepfakes,h264,28,1,1541285,3491976
880_135.mp4,Deepfakes,h264,38,1,363108,822668
880_135.mp4,Deepfakes,hevc,18,1,686108,1554464
880_135.mp4,Deepfakes,hevc,28,1,191340,433505
880_135.mp4,Deepfakes,hevc,38,1,81843,185427
880_135.mp4,Deepfakes,av1,20,1,1018353,2307207
880_135.mp4,Deepfakes,av1,30,1,507965,1150859
880_135.mp4,Deepfakes,av1,40,1,242319,549005
881_856.mp4,Deepfakes,h264,18,1,2148478,5711373
881_856.mp4,Deepfakes,h264,28,1,643575,1710837
881_856.mp4,Deepfakes,h264,38,1,164246,436621
881_856.mp4,Deepfakes,hevc,18,1,413529,1099298
881_856.mp4,Deepfakes,hevc,28,1,106746,283768
881_856.mp4,Deepfakes,hevc,38,1,43033,114398
881_856.mp4,Deepfakes,av1,20,1,828606,2202712
881_856.mp4,Deepfakes,av1,30,1,459971,1222757
881_856.mp4,Deepfakes,av1,40,1,225513,599489
882_952.mp4,Deepfakes,h264,18,1,14863770,20623481
882_952.mp4,Deepfakes,h264,28,1,4352775,6039476
882_952.mp4,Deepfakes,h264,38,1,1293052,1794111
882_952.mp4,Deepfakes,hevc,18,1,2866964,3977913
882_952.mp4,Deepfakes,hevc,28,1,822400,1141080
882_952.mp4,Deepfakes,hevc,38,1,266475,369735
882_952.mp4,Deepfakes,av1,20,1,4106606,5697916
882_952.mp4,Deepfakes,av1,30,1,2139373,2968381
882_952.mp4,Deepfakes,av1,40,1,1015974,1409665
883_013.mp4,Deepfakes,h264,18,1,5818477,12597004
883_013.mp4,Deepfakes,h264,28,1,1838602,3980575
883_013.mp4,Deepfakes,h264,38,1,523054,1132413
883_013.mp4,Deepfakes,hevc,18,1,1212182,2624375
883_013.mp4,Deepfakes,hevc,28,1,331936,718643
883_013.mp4,Deepfakes,hevc,38,1,107226,232145
883_013.mp4,Deepfakes,av1,20,1,1686920,3652183
883_013.mp4,Deepfakes,av1,30,1,871936,1887742
883_013.mp4,Deepfakes,av1,40,1,420915,911283
884_968.mp4,Deepfakes,h264,18,1,6054092,10382769
884_968.mp4,Deepfakes,h264,28,1,2032885,3486399
884_968.mp4,Deepfakes,h264,38,1,613368,1051927
884_968.mp4,Deepfakes,hevc,18,1,1394430,2391449
884_968.mp4,Deepfakes,hevc,28,1,395057,677524
884_968.mp4,Deepfakes,hevc,38,1,122639,210326
884_968.mp4,Deepfakes,av1,20,1,1955618,3353885
884_968.mp4,Deepfakes,av1,30,1,1025994,1759580
884_968.mp4,Deepfakes,av1,40,1,492586,844786
885_802.mp4,Deepfakes,h264,18,1,2344107,3856057
885_802.mp4,Deepfakes,h264,28,1,814100,1339195
885_802.mp4,Deepfakes,h264,38,1,229171,376987
885_802.mp4,Deepfakes,hevc,18,1,438646,721573
885_802.mp4,Deepfakes,hevc,28,1,118846,195503
885_802.mp4,Deepfakes,hevc,38,1,41543,68339
885_802.mp4,Deepfakes,av1,20,1,679181,1117253
885_802.mp4,Deepfakes,av1,30,1,372277,612397
885_802.mp4,Deepfakes,av1,40,1,189412,311583
886_877.mp4,Deepfakes,h264,18,1,2017254,5295293
886_877.mp4,Deepfakes,h264,28,1,594035,1559342
886_877.mp4,Deepfakes,h264,38,1,147087,386105
886_877.mp4,Deepfakes,hevc,18,1,282152,740650
886_877.mp4,Deepfakes,hevc,28,1,74169,194696
886_877.mp4,Deepfakes,hevc,38,1,29655,77846
886_877.mp4,Deepfakes,av1,20,1,419571,1101375
886_877.mp4,Deepfakes,av1,30,1,232787,611067
886_877.mp4,Deepfakes,av1,40,1,122951,322748
887_275.mp4,Deepfakes,h264,18,1,2465132,4178399
887_275.mp4,Deepfakes,h264,28,1,704877,1194767
887_275.mp4,Deepfakes,h264,38,1,182941,310085
887_275.mp4,Deepfakes,hevc,18,1,488001,827162
887_275.mp4,Deepfakes,hevc,28,1,138379,234553
887_275.mp4,Deepfakes,hevc,38,1,48903,82891
887_275.mp4,Deepfakes,av1,20,1,779166,1320688
887_275.mp4,Deepfakes,av1,30,1,397264,673364
887_275.mp4,Deepfakes,av1,40,1,195838,331946
888_937.mp4,Deepfakes,h264,18,1,2083944,3198855
888_937.mp4,Deepfakes,h264,28,1,651396,999894
888_937.mp4,Deepfakes,h264,38,1,153579,235745
888_937.mp4,Deepfakes,hevc,18,1,312257,479315
888_937.mp4,Deepfakes,hevc,28,1,80275,123223
888_937.mp4,Deepfakes,hevc,38,1,31524,48390
888_937.mp4,Deepfakes,av1,20,1,454102,697047
888_937.mp4,Deepfakes,av1,30,1,240489,369152
888_937.mp4,Deepfakes,av1,40,1,123463,189517
889_045.mp4,Deepfakes,h264,18,1,14643537,24088620
889_045.mp4,Deepfakes,h264,28,1,3811319,6269620
889_045.mp4,Deepfakes,h264,38,1,1006073,1654991
889_045.mp4,Deepfakes,hevc,18,1,2669093,4390659
889_045.mp4,Deepfakes,hevc,28,1,680940,1120147
889_045.mp4,Deepfakes,hevc,38,1,222002,365194
889_045.mp4,Deepfakes,av1,20,1,3548417,5837146
889_045.mp4,Deepfakes,av1,30,1,1714651,2820601
889_045.mp4,Deepfakes,av1,40,1,771013,1268318
890_837.mp4,Deepfakes,h264,18,1,2798122,3975666
890_837.mp4,Deepfakes,h264,28,1,840439,1194125
890_837.mp4,Deepfakes,h264,38,1,205705,292273
890_837.mp4,Deepfakes,hevc,18,1,461474,655679
890_837.mp4,Deepfakes,hevc,28,1,139390,198051
890_837.mp4,Deepfakes,hevc,38,1,54551,77508
890_837.mp4,Deepfakes,av1,20,1,744642,1058013
890_837.mp4,Deepfakes,av1,30,1,399300,567339
890_837.mp4,Deepfakes,av1,40,1,205477,291950
891_876.mp4,Deepfakes,h264,18,1,6013104,7416162
891_876.mp4,Deepfakes,h264,28,1,1643129,2026526
891_876.mp4,Deepfakes,h264,38,1,456038,562448
891_876.mp4,Deepfakes,hevc,18,1,942929,1162946
891_876.mp4,Deepfakes,hevc,28,1,261984,323114
891_876.mp4,Deepfakes,hevc,38,1,98953,122043
891_876.mp4,Deepfakes,av1,20,1,1377154,1698490
891_876.mp4,Deepfakes,av1,30,1,712340,878553
891_876.mp4,Deepfakes,av1,40,1,348578,429914
892_112.mp4,Deepfakes,h264,18,1,11383350,14750926
892_112.mp4,Deepfakes,h264,28,1,2704811,3504985
892_112.mp4,Deepfakes,h264,38,1,727439,942641
892_112.mp4,Deepfakes,hevc,18,1,1660549,2151796
892_112.mp4,Deepfakes,hevc,28,1,507615,657785
892_112.mp4,Deepfakes,hevc,38,1,192780,249811
892_112.mp4,Deepfakes,av1,20,1,2151754,2788315
892_112.mp4,Deepfakes,av1,30,1,1138358,1475123
892_112.mp4,Deepfakes,av1,40,1,553404,717120
893_913.mp4,Deepfakes,h264,18,1,2991998,6694597
893_913.mp4,Deepfakes,h264,28,1,870433,1947595
893_913.mp4,Deepfakes,h264,38,1,236069,528205
893_913.mp4,Deepfakes,hevc,18,1,476429,1066010
893_913.mp4,Deepfakes,hevc,28,1,138733,310417
893_913.mp4,Deepfakes,hevc,38,1,54025,120883
893_913.mp4,Deepfakes,av1,20,1,918145,2054350
893_913.mp4,Deepfakes,av1,30,1,484911,1084990
893_913.mp4,Deepfakes,av1,40,1,246452,551437
894_848.mp4,Deepfakes,h264,18,1,9583036,15716180
894_848.mp4,Deepfakes,h264,28,1,2149289,3524835
894_848.mp4,Deepfakes,h264,38,1,528510,866758
894_848.mp4,Deepfakes,hevc,18,1,1092293,1791362
894_848.mp4,Deepfakes,hevc,28,1,291027,477285
894_848.mp4,Deepfakes,hevc,38,1,112799,184991
894_848.mp4,Deepfakes,av1,20,1,1420925,2330318
894_848.mp4,Deepfakes,av1,30,1,701140,1149870
894_848.mp4,Deepfakes,av1,40,1,336471,551814
895_915.mp4,Deepfakes,h264,18,1,1913570,2812949
895_915.mp4,Deepfakes,h264,28,1,471502,693109
895_915.mp4,Deepfakes,h264,38,1,139721,205391
895_915.mp4,Deepfakes,hevc,18,1,281457,413742
895_915.mp4,Deepfakes,hevc,28,1,90423,132922
895_915.mp4,Deepfakes,hevc,38,1,39888,58636
895_915.mp4,Deepfakes,av1,20,1,467450,687152
895_915.mp4,Deepfakes,av1,30,1,268675,394953
895_915.mp4,Deepfakes,av1,40,1,141998,208738
896_128.mp4,Deepfakes,h264,18,1,1345891,3573342
896_128.mp4,Deepfakes,h264,28,1,411262,1091901
896_128.mp4,Deepfakes,h264,38,1,130613,346778
896_128.mp4,Deepfakes,hevc,18,1,196751,522376
896_128.mp4,Deepfakes,hevc,28,1,60425,160429
896_128.mp4,Deepfakes,hevc,38,1,26438,70195
896_128.mp4,Deepfakes,av1,20,1,312124,828690
896_128.mp4,Deepfakes,av1,30,1,169471,449948
896_128.mp4,Deepfakes,av1,40,1,86693,230170
897_969.mp4,Deepfakes,h264,18,1,2717455,4524564
897_969.mp4,Deepfakes,h264,28,1,921912,1534985
897_969.mp4,Deepfakes,h264,38,1,262272,436684
897_969.mp4,Deepfakes,hevc,18,1,538751,897021
897_969.mp4,Deepfakes,hevc,28,1,141765,236040
897_969.mp4,Deepfakes,hevc,38,1,47248,78668
897_969.mp4,Deepfakes,av1,20,1,938523,1562641
897_969.mp4,Deepfakes,av1,30,1,492779,820478
897_969.mp4,Deepfakes,av1,40,1,239447,398680
898_922.mp4,Deepfakes,h264,18,1,1746770,3048115
898_922.mp4,Deepfakes,h264,28,1,418187,729737
898_922.mp4,Deepfakes,h264,38,1,94914,165626
898_922.mp4,Deepfakes,hevc,18,1,194131,338759
898_922.mp4,Deepfakes,hevc,28,1,51251,89434
898_922.mp4,Deepfakes,hevc,38,1,25024,43668
898_922.mp4,Deepfakes,av1,20,1,292759,510865
898_922.mp4,Deepfakes,av1,30,1,162018,282722
898_922.mp4,Deepfakes,av1,40,1,86334,150654
899_914.mp4,Deepfakes,h264,18,1,2446056,5707466
899_914.mp4,Deepfakes,h264,28,1,651066,1519155
899_914.mp4,Deepfakes,h264,38,1,159918,373143
899_914.mp4,Deepfakes,hevc,18,1,349499,815498
899_914.mp4,Deepfakes,hevc,28,1,99539,232259
899_914.mp4,Deepfakes,hevc,38,1,39953,93224
899_914.mp4,Deepfakes,av1,20,1,573903,1339108
899_914.mp4,Deepfakes,av1,30,1,320863,748681
899_914.mp4,Deepfakes,av1,40,1,162825,379926
900_926.mp4,Deepfakes,h264,18,1,2503497,4268464
900_926.mp4,Deepfakes,h264,28,1,838964,1430434
900_926.mp4,Deepfakes,h264,38,1,239097,407662
900_926.mp4,Deepfakes,hevc,18,1,616743,1051548
900_926.mp4,Deepfakes,hevc,28,1,162694,277394
900_926.mp4,Deepfakes,hevc,38,1,52445,89420
900_926.mp4,Deepfakes,av1,20,1,936539,1596799
900_926.mp4,Deepfakes,av1,30,1,522465,890803
900_926.mp4,Deepfakes,av1,40,1,263922,449988
901_902.mp4,Deepfakes,h264,18,1,4290345,9349377
901_902.mp4,Deepfakes,h264,28,1,1050136,2288423
901_902.mp4,Deepfakes,h264,38,1,253209,551786
901_902.mp4,Deepfakes,hevc,18,1,477510,1040576
901_902.mp4,Deepfakes,hevc,28,1,131248,286012
901_902.mp4,Deepfakes,hevc,38,1,62563,136336
901_902.mp4,Deepfakes,av1,20,1,777741,1694828
901_902.mp4,Deepfakes,av1,30,1,388846,847361
901_902.mp4,Deepfakes,av1,40,1,191624,417581
902_901.mp4,Deepfakes,h264,18,1,4360955,5360341
902_901.mp4,Deepfakes,h264,28,1,1294084,1590646
902_901.mp4,Deepfakes,h264,38,1,340002,417920
902_901.mp4,Deepfakes,hevc,18,1,596520,733223
902_901.mp4,Deepfakes,hevc,28,1,177234,217851
902_901.mp4,Deepfakes,hevc,38,1,72501,89117
902_901.mp4,Deepfakes,av1,20,1,882788,1085094
902_901.mp4,Deepfakes,av1,30,1,442932,544438
902_901.mp4,Deepfakes,av1,40,1,210594,258856
903_792.mp4,Deepfakes,h264,18,1,2874365,8148827
903_792.mp4,Deepfakes,h264,28,1,956063,2710441
903_792.mp4,Deepfakes,h264,38,1,284430,806361
903_792.mp4,Deepfakes,hevc,18,1,670574,1901078
903_792.mp4,Deepfakes,hevc,28,1,192865,546773
903_792.mp4,Deepfakes,hevc,38,1,57388,162697
903_792.mp4,Deepfakes,av1,20,1,1020340,2892666
903_792.mp4,Deepfakes,av1,30,1,617071,1749397
903_792.mp4,Deepfakes,av1,40,1,317026,898770
904_046.mp4,Deepfakes,h264,18,1,12792206,19135009
904_046.mp4,Deepfakes,h264,28,1,3359014,5024526
904_046.mp4,Deepfakes,h264,38,1,837001,1252015
904_046.mp4,Deepfakes,hevc,18,1,2078101,3108494
904_046.mp4,Deepfakes,hevc,28,1,506117,757068
904_046.mp4,Deepfakes,hevc,38,1,168137,251505
904_046.mp4,Deepfakes,av1,20,1,2334575,3492136
904_046.mp4,Deepfakes,av1,30,1,1162457,1738842
904_046.mp4,Deepfakes,av1,40,1,518085,774970
905_860.mp4,Deepfakes,h264,18,1,5781219,9201774
905_860.mp4,Deepfakes,h264,28,1,1908665,3037959
905_860.mp4,Deepfakes,h264,38,1,523343,832988
905_860.mp4,Deepfakes,hevc,18,1,1234773,1965347
905_860.mp4,Deepfakes,hevc,28,1,364022,579402
905_860.mp4,Deepfakes,hevc,38,1,119964,190944
905_860.mp4,Deepfakes,av1,20,1,2097276,3338165
905_860.mp4,Deepfakes,av1,30,1,1125591,1791566
905_860.mp4,Deepfakes,av1,40,1,547854,872001
906_847.mp4,Deepfakes,h264,18,1,8669032,14051058
906_847.mp4,Deepfakes,h264,28,1,2089675,3387016
906_847.mp4,Deepfakes,h264,38,1,543664,881190
906_847.mp4,Deepfakes,hevc,18,1,916320,1485203
906_847.mp4,Deepfakes,hevc,28,1,250685,406319
906_847.mp4,Deepfakes,hevc,38,1,106412,172477
906_847.mp4,Deepfakes,av1,20,1,1529255,2478669
906_847.mp4,Deepfakes,av1,30,1,763682,1237802
906_847.mp4,Deepfakes,av1,40,1,367044,594918
907_795.mp4,Deepfakes,h264,18,1,5414929,11845158
907_795.mp4,Deepfakes,h264,28,1,1579584,3455342
907_795.mp4,Deepfakes,h264,38,1,417497,913276
907_795.mp4,Deepfakes,hevc,18,1,780570,1707497
907_795.mp4,Deepfakes,hevc,28,1,249138,544990
907_795.mp4,Deepfakes,hevc,38,1,98904,216353
907_795.mp4,Deepfakes,av1,20,1,1267362,2772356
907_795.mp4,Deepfakes,av1,30,1,666276,1457480
907_795.mp4,Deepfakes,av1,40,1,339262,742137
908_207.mp4,Deepfakes,h264,18,1,7420974,25780156
908_207.mp4,Deepfakes,h264,28,1,1959927,6808706
908_207.mp4,Deepfakes,h264,38,1,551487,1915846
908_207.mp4,Deepfakes,hevc,18,1,968951,3366096
908_207.mp4,Deepfakes,hevc,28,1,274291,952877
908_207.mp4,Deepfakes,hevc,38,1,107121,372137
908_207.mp4,Deepfakes,av1,20,1,1503641,5223587
908_207.mp4,Deepfakes,av1,30,1,727969,2528935
908_207.mp4,Deepfakes,av1,40,1,328930,1142691
909_857.mp4,Deepfakes,h264,18,1,1591499,4224104
909_857.mp4,Deepfakes,h264,28,1,418643,1111149
909_857.mp4,Deepfakes,h264,38,1,109460,290527
909_857.mp4,Deepfakes,hevc,18,1,184701,490229
909_857.mp4,Deepfakes,hevc,28,1,56328,149506
909_857.mp4,Deepfakes,hevc,38,1,29182,77455
909_857.mp4,Deepfakes,av1,20,1,340319,903264
909_857.mp4,Deepfakes,av1,30,1,185810,493171
909_857.mp4,Deepfakes,av1,40,1,94482,250773
910_911.mp4,Deepfakes,h264,18,1,5006220,6090902
910_911.mp4,Deepfakes,h264,28,1,1492140,1815437
910_911.mp4,Deepfakes,h264,38,1,388651,472859
910_911.mp4,Deepfakes,hevc,18,1,921484,1121140
910_911.mp4,Deepfakes,hevc,28,1,237547,289016
910_911.mp4,Deepfakes,hevc,38,1,79831,97128
910_911.mp4,Deepfakes,av1,20,1,1456576,1772168
910_911.mp4,Deepfakes,av1,30,1,766141,932139
910_911.mp4,Deepfakes,av1,40,1,365099,444204
911_910.mp4,Deepfakes,h264,18,1,5538074,7591778
911_910.mp4,Deepfakes,h264,28,1,1607059,2203011
911_910.mp4,Deepfakes,h264,38,1,381990,523645
911_910.mp4,Deepfakes,hevc,18,1,750561,1028895
911_910.mp4,Deepfakes,hevc,28,1,210083,287989
911_910.mp4,Deepfakes,hevc,38,1,82442,113015
911_910.mp4,Deepfakes,av1,20,1,1239454,1699085
911_910.mp4,Deepfakes,av1,30,1,638455,875216
911_910.mp4,Deepfakes,av1,40,1,309012,423604
912_927.mp4,Deepfakes,h264,18,1,1802069,5829694
912_927.mp4,Deepfakes,h264,28,1,492981,1594796
912_927.mp4,Deepfakes,h264,38,1,119127,385379
912_927.mp4,Deepfakes,hevc,18,1,306932,992928
912_927.mp4,Deepfakes,hevc,28,1,83316,269529
912_927.mp4,Deepfakes,hevc,38,1,34783,112524
912_927.mp4,Deepfakes,av1,20,1,441271,1427512
912_927.mp4,Deepfakes,av1,30,1,248825,804949
912_927.mp4,Deepfakes,av1,40,1,129200,417963
913_893.mp4,Deepfakes,h264,18,1,2052661,5422447
